Palabra,Frecuencia
risk,273463
financial,236281
use,142501
model,124581
study,123263
market,105106
result,86586
base,70442
paper,67286
high,64779
datum,62636
analysis,61418
management,60102
research,58927
method,57324
factor,55452
economic,52812
increase,52472
provide,52390
development,49332
approach,49330
cost,48737
value,48602
bank,48316
health,48154
portfolio,47744
finance,47361
investment,46971
impact,45801
include,45657
asset,45493
time,44748
effect,43676
level,43460
firm,43310
author,41434
policy,40444
company,40098
new,40017
performance,38983
price,38800
return,38410
information,37855
problem,37808
process,37484
stock,37344
decision,36830
develop,36380
measure,36344
change,36094
patient,35933
social,35703
rate,35360
country,35291
low,34997
business,34788
project,34685
strategy,34429
year,33724
propose,33256
need,33168
term,33031
finding,31956
different,31833
make,31639
design,31602
capital,31376
service,31329
significant,31313
present,30925
support,30541
investor,30132
crisis,29836
identify,29836
credit,29715
reduce,29049
group,28967
industry,28557
right,28252
case,28175
consider,28052
technology,27799
corporate,27754
examine,27520
control,27141
sector,26546
important,26432
associate,26203
reserve,25975
improve,25893
global,25844
work,25474
relate,25289
energy,25081
relationship,24476
aim,24301
period,24206
large,24141
non,23866
future,23659
care,23607
public,23595
focus,23245
framework,23059
issue,22956
resource,22913
long,22843
article,22788
role,22254
potential,22241
report,22168
compare,22114
optimization,21932
influence,21854
sustainable,21734
practice,21664
test,21514
economy,21437
state,21285
international,20948
quality,20773
network,20641
lead,20546
government,20516
engineering,20487
index,20438
analyze,20392
pricing,20379
volatility,20367
option,20262
suggest,20257
individual,20206
purpose,19891
apply,19673
affect,19588
benefit,19584
insurance,19521
objective,19505
area,19455
institution,19425
loss,19373
structure,19271
challenge,19155
activity,19044
application,19007
environmental,18836
investigate,18822
review,18742
literature,18717
security,18658
condition,18650
sample,18432
implication,18418
assess,18388
estimate,18333
order,18197
evidence,18169
theory,18048
growth,18010
real,18006
variable,17971
product,17762
number,17703
fund,17581
methodology,17544
current,17509
follow,17450
require,17109
program,16937
enterprise,16882
mean,16874
outcome,16859
banking,16829
experience,16808
world,16768
set,16747
limit,16643
assessment,16563
type,16513
main,16433
2020,16413
various,16337
algorithm,16288
dynamic,16285
determine,16209
help,16060
address,16037
empirical,15916
exist,15880
key,15829
conduct,15791
evaluate,15778
good,15681
environment,15677
elsevi,15659
solution,15589
great,15576
technique,15538
student,15518
conclusion,15437
tool,15436
life,15346
green,15220
climate,15131
income,15099
explore,15029
power,14994
uncertainty,14959
effective,14872
age,14871
2021,14831
function,14776
2023,14708
optimal,14689
treatment,14673
springer,14669
significantly,14577
positive,14559
2019,14494
derivative,14458
behavior,14428
indicate,14407
china,14405
discuss,14390
debt,14340
community,14336
specific,14316
19,13983
characteristic,13965
governance,13937
form,13932
achieve,13917
participant,13895
supply,13869
knowledge,13864
efficiency,13862
distribution,13835
population,13796
standard,13754
cause,13676
major,13628
national,13570
survey,13539
ratio,13514
recent,13399
nature,13382
innovation,13372
small,13358
access,13331
association,13325
way,13303
obtain,13285
equity,13264
society,13196
private,13179
production,13108
university,12991
mechanism,12979
regression,12967
woman,12946
offer,12941
source,12890
regulation,12860
intervention,12857
2018,12844
2022,12839
implementation,12831
event,12822
science,12817
face,12816
demonstrate,12781
allow,12767
financing,12750
trading,12700
total,12660
account,12642
contribute,12641
exchange,12632
difference,12603
concern,12599
negative,12498
field,12492
family,12393
organization,12392
disease,12338
emerge,12318
far,12316
implement,12289
covid,12162
people,12041
create,12021
context,12020
education,11729
manage,11729
trade,11712
expect,11674
evaluation,11637
involve,11612
local,11610
operation,11603
scale,11550
sustainability,11531
reveal,11530
indicator,11425
understand,11418
perform,11417
95,11287
short,11268
household,11229
opportunity,11224
demand,11195
construction,11117
regard,11116
publishing,11079
general,11054
bond,11039
regulatory,10987
establish,10965
loan,10935
human,10888
enhance,10857
10,10851
lack,10817
practical,10812
manager,10783
perspective,10744
traditional,10727
addition,10695
introduce,10685
point,10626
share,10610
european,10597
overall,10545
common,10507
goal,10476
response,10465
digital,10394
importance,10378
water,10359
hospital,10351
selection,10338
early,10293
region,10291
employ,10288
medical,10256
possible,10251
feature,10250
second,10226
example,10153
chain,10057
constraint,10044
2017,10034
medium,10029
parameter,9975
especially,9957
particular,9947
child,9943
ci,9940
size,9867
build,9855
plan,9842
2024,9834
target,9808
predict,9796
prediction,9791
publish,9757
pandemic,9746
contract,9718
select,9711
concept,9643
complex,9622
critical,9610
reduction,9609
2015,9596
explain,9577
highlight,9563
oil,9559
finally,9548
probability,9543
multiple,9524
range,9517
2016,9510
default,9508
2008,9478
accounting,9405
stability,9397
flow,9391
alternative,9382
chapter,9352
know,9324
promote,9270
multi,9269
learning,9251
strong,9232
safety,9226
available,9194
aspect,9187
carbon,9179
cross,9177
customer,9170
simulation,9165
background,9124
play,9100
ensure,9099
drive,8947
generate,8943
self,8936
liquidity,8930
clinical,8887
average,8874
islamic,8870
integrate,8857
perceive,8853
efficient,8836
likely,8820
correlation,8818
stochastic,8817
adopt,8806
american,8772
remain,8768
stage,8758
failure,8752
requirement,8746
component,8743
systemic,8731
list,8719
2014,8707
instrument,8682
property,8650
criterion,8627
define,8590
transaction,8580
profit,8569
infrastructure,8540
effectiveness,8535
exposure,8534
disclosure,8494
commercial,8487
decrease,8406
stress,8405
political,8400
payment,8378
technical,8362
2013,8361
incentive,8333
particularly,8321
consumer,8304
2012,8291
tax,8289
status,8238
barrier,8228
relevant,8208
day,8202
primary,8201
material,8198
construct,8179
accord,8163
user,8153
cancer,8150
2010,8149
book,8145
trend,8142
grow,8125
series,8113
solve,8109
question,8091
ability,8079
central,8069
physical,8034
scenario,8029
law,8028
link,8017
stakeholder,7992
effort,7958
combine,7945
attention,7918
contribution,7855
score,7849
improvement,7818
professional,7762
view,7756
limited,7755
2011,7747
planning,7743
consequence,7740
old,7737
poor,7736
capacity,7717
cash,7706
healthcare,7697
natural,7697
insight,7688
comprehensive,7685
collect,7669
variance,7664
2009,7662
understanding,7613
action,7602
basis,7587
represent,7586
making,7576
burden,7567
operational,7548
data,7535
situation,7526
legal,7502
institutional,7499
audit,7494
enable,7489
copyright,7476
furthermore,7461
foreign,7443
robust,7422
procedure,7374
protection,7371
subject,7367
food,7360
internal,7357
interview,7356
pay,7356
post,7340
analyse,7333
behavioral,7313
housing,7291
theoretical,7274
2007,7270
hedge,7243
consumption,7205
receive,7198
leverage,7180
like,7174
direct,7126
ieee,7101
gain,7073
vary,7050
relation,7025
shock,7024
machine,7020
learn,7015
allocation,6946
money,6946
choice,6939
seek,6928
integration,6895
end,6888
uk,6870
estimation,6824
forecast,6817
strategic,6795
mitigate,6784
industrial,6772
cover,6770
single,6760
carry,6759
structural,6759
relative,6739
degree,6735
statistical,6732
derive,6718
appropriate,6667
additional,6661
adult,6661
systematic,6653
principle,6643
mental,6642
academic,6622
rule,6566
accuracy,6549
necessary,6539
depend,6532
originality,6507
gap,6476
chinese,6472
class,6468
rating,6468
deal,6464
premium,6447
agency,6429
scheme,6428
limitation,6417
weight,6403
city,6382
external,6364
utility,6334
emission,6326
previous,6319
adjust,6317
board,6313
taylor,6296
gas,6290
novel,6273
reform,6272
place,6267
linear,6266
pattern,6234
open,6223
united,6218
perception,6214
balance,6203
agent,6178
incorporate,6176
despite,6174
advantage,6170
topic,6170
rural,6166
hold,6155
online,6152
provider,6146
success,6144
member,6142
observe,6131
urban,6130
francis,6126
space,6099
produce,6098
monetary,6087
building,6081
past,6081
emerald,6077
generation,6073
month,6054
scientific,6046
modeling,6035
utilize,6025
error,6015
step,6013
personal,6011
rise,6007
meet,5920
yield,5906
transition,5899
adoption,5894
al,5887
wide,5883
12,5880
similar,5864
conditional,5850
invest,5845
quantitative,5845
profitability,5834
run,5824
prevent,5821
numerical,5818
cycle,5811
reason,5798
essential,5770
prevention,5769
esg,5744
center,5737
act,5721
continue,5717
conventional,5717
certain,5716
preference,5711
complete,5699
net,5684
spread,5678
capture,5676
et,5667
20,5665
agricultural,5665
calculate,5662
occur,5661
questionnaire,5649
argue,5644
consistent,5642
logistic,5637
regional,5633
reporting,5622
switzerland,5620
big,5615
drug,5593
specifically,5589
illustrate,5588
highly,5578
software,5561
consideration,5560
electricity,5551
conclude,5546
appear,5544
transfer,5541
funding,5531
setting,5509
journal,5501
search,5497
currency,5492
responsibility,5490
extend,5488
30,5480
respectively,5477
pressure,5460
operate,5446
disaster,5433
valuation,5433
farmer,5416
interaction,5407
reflect,5399
trial,5386
platform,5381
add,5369
innovative,5367
determinant,5366
press,5362
equation,5353
discussion,5351
researcher,5344
free,5338
document,5330
var,5330
fuzzy,5267
bias,5262
qualitative,5258
optimize,5236
position,5235
recommendation,5235
mortality,5228
comparison,5218
revenue,5206
risky,5206
minimize,5205
modern,5205
task,5204
frequency,5201
training,5198
diversification,5186
measurement,5185
hypothesis,5180
extreme,5177
panel,5172
renewable,5172
expert,5153
crucial,5146
phase,5138
volume,5137
communication,5134
element,5131
distress,5130
increasingly,5119
fundamental,5113
able,5096
maintain,5096
facility,5079
effectively,5072
introduction,5072
maker,5066
start,5063
plant,5057
experiment,5048
avoid,5035
decade,5034
dimension,5029
behaviour,5026
prove,5026
attempt,5018
home,4998
threat,4986
domestic,4983
facilitate,4983
land,4975
bring,4966
imply,4962
hand,4954
domain,4946
random,4944
unit,4943
initiative,4941
prevalence,4939
wealth,4930
combination,4925
choose,4921
regulator,4918
useful,4918
draw,4900
extent,4895
psychological,4869
saving,4837
sme,4831
line,4830
india,4819
independent,4812
trust,4808
annual,4789
database,4783
ownership,4768
gender,4755
serve,4750
young,4744
unique,4741
depression,4740
south,4737
underlie,4736
deep,4724
statement,4721
estate,4720
15,4706
hazard,4703
basic,4699
shift,4694
technological,4693
contain,4691
llc,4673
pre,4673
institute,4672
worker,4666
school,4663
fraud,4661
expenditure,4649
live,4640
macroeconomic,4638
monitoring,4629
come,4623
exclusive,4621
site,4618
spillover,4601
2006,4597
presence,4587
raise,4587
wiley,4586
complexity,4583
states,4577
practitioner,4574
distribute,4567
reference,4565
coverage,4562
testing,4554
prior,4547
attitude,4545
course,4544
fact,4542
confirm,4534
substantial,4531
vulnerability,4531
relatively,4519
2005,4518
consist,4512
internet,4505
employee,4490
neural,4487
expand,4472
authority,4471
infection,4462
commodity,4458
difficulty,4456
mining,4456
dataset,4454
sensitivity,4452
damage,4448
expectation,4436
look,4434
mainly,4422
provision,4421
variation,4418
11,4393
confidence,4373
compete,4367
moderate,4359
broad,4356
compliance,4349
daily,4339
dependence,4334
client,4332
participation,4326
little,4325
adverse,4304
initial,4304
